Russia,Igor Akinfeev,Igor Smolnikov,Ilya Kutepov,Fedor Kudryashov,Alexandr Samedov,Yuriy Zhirkov,Alexandr Golovin,Daler Kuzyaev,Roman Zobnin,Alexey Miranchuk,Fedor Smolov
Saudi Arabia,Yasser Al Mosailem,Mohammed Al Buraik,Omar Hawsawi,Osama Hawsawi,Yasser Al Shahrani,Abdullah Ateef,Taiseer Al Jassam,Fahad Al Muwallad,Yahia Sulaiman Al Shehri,Salem Al Dawsari,Mohammed Al Sahlawi
Egypt,Essam El Hadary,Mohamed Abdul Shafy,Ali Gabr,Ahmed Hegazi,Ahmed Fathi,Mohamed Elneny,Tarek Hamed,Mohamed Salah,Abdallah El-Said,Mahmoud Hassan,Ahmed Hassan
Uruguay,Fernando Muslera,Guillermo Varela,Diego Godin,Jose Maria Gimenez,Martin Caceres,Nahitan Nandez,Matias Vecino,Federico Valverde,Maximiliano Rodriguez,Luis Suarez,Edinson Cavani
Portugal,Rui Pedro dos Santos Patricio,Cedric Ricardo Alves Soares,Kepler Laveran Lima Ferreira,Bruno Eduardo Regufe Alves,Raphael Guerreiro,William Silva de Carvalho,Joao Mario Naval Costa Eduardo,Joao Filipe Moutinho,Bernardo Mota Carvalho e Silva,Cristiano Ronaldo,Andre Miguel Valente da Silva
Spain,David De Gea Quintana,Daniel Carvajal Ramos,Sergio Ramos Garcia,Gerard Pique Bernabeu,Jordi Alba Ramos,Sergio Busquets Burgos,Thiago Alcantara,Andres Iniesta,David Silva,Iago Aspas Juncal,Francisco Roman Alarcon Suarez
Morocco,Munir Mohand Mohamedi,Nabil Dirar,Medhi Benatia,Romain Saiss,Achraf Hakimi,Karim El Ahmadi,Nordin Amrabat,Younes Belhanda,Mbark Boussoufa,Hakim Ziyech,Khalid Boutaib
Iran,Alireza Beiranvand,Ramin Rezaeian,Morteza Pouraliganji,Pejman Montazeri,Milad Mohammadi,Ehsan Haji Safi,Saeid Ezatolahi,Masoud Shojaei,Alireza Jahanbakhsh,Mehdi Taremi,Sardar Azmoun
Australia,Mathew Ryan,Josh Risdon,Trent Sainsbury,Matthew Jurman,Aziz Behich,Mile Jedinak,Aaron Mooy,Robbie Kruse,Tom Rogic,Mathew Leckie,Tomi Juric
France,Hugo Lloris,Benjamin Mendy,Raphael Varane,Samuel Umtiti,Djibril Sidibe,Paul Pogba,N'Golo Kante,Blaise Matuidi,Ousmane Dembele,Antoine Griezmann,Kylian Mbappe
Peru,Pedro Gallese,Luis Advincula,Alberto Rodriguez,Christian Ramos,Miguel Trauco,Renato Tapia,Yoshimar Yotun,Jefferson Farfan,Christian Cueva,Edison Flores,Paolo Guerrero
Denmark,Kasper Schmeichel,Henrik Dalsgaard,Simon Kjaer,Andreas Bjelland,Jens Stryger Larsen,Lasse Schone,Christian Eriksen,Thomas Delaney,Yussuf Poulsen,Nicolai Jorgensen,Pione Sisto
Argentina,Sergio Romero,Nicolas Otamendi,Javier Mascherano,Marcos Rojo,Ever Banega,Lucas Biglia,Angel Di Maria,Paulo Dybala,Lionel Messi,Sergio Aguero,Gonzalo Higuain
Croatia,Danijel Subasic,Vedran Corluka,Dejan Lovren,Domagoj Vida,Josip Pivaric,Ivan Rakitic,Luka Modric,Marko Pjaca,Mateo Kovacic,Ivan Perisic,Mario Mandzukic
Nigeria,Francis Uzoho,Brian Idowu,William Troost-Ekong,Leon Balogun,Ogenyi Onazi,John Obi Mikel,Victor Moses,Alex Iwobi,Ahmed Musa,Odion Ighalo,Kelechi Iheanacho
